English term,Chinese term
1 Fundamentals of traditional Chinese medicine,一、中医基础理论术语
1.1 Yin/yang,1.1 阴阳类
Yin-yang,阴阳
Yin,阴
Yang,阳
Yin qi,阴气
Yang qi,阳气
Yin and yang mutually interact,阴阳交感
Yin and yang mutually oppose,阴阳相反
Yin and yang mutually support,阴阳相成
Yin and yang reciprocally root,阴阳互根
Yin and yang wax and wane,阴阳消长
Yin and yang mutually transform,阴阳转化
Extreme yin transforming into yang,重阴必阳
Extreme yang transforming into yin,重阳必阴
Balance between yin and yang,阴平阳秘
Spontaneous harmonization between yin and yang,阴阳自和
Yin alone cannot be generated,孤阴不生
Yang alone cannot grow,独阳不长
Yin within yin,阴中之阴
Yang within yin,阴中之阳
Yang within yang,阳中之阳
Yin within yang,阳中之阴
Yang germinates and yīn grows,阳生阴长
Yang kills and yin stores,阳杀阴藏
Three yin and three yang,三阴三阳
1.2 The five elements,1.2 五行类
Five elements,五行
Wood is characterized by bending and straightening,木曰曲直
Fire is characterized by flaming upward,火曰炎上
Earth is characterized by sowing and reaping,土爰稼穑
Metal is characterized by yielding and changing,金曰从革
Water is characterized by moistening and descending,水曰润下
The five elements mutually generate,五行相生
The five elements mutually restrain,五行相克
The five elements mutually control and transform,五行制化
The five elements overcome and retaliate,五行胜复
The five elements mutually over-restrain one another,五行相乘
The five elements mutually counter-restrain one another,五行相侮
Mother qi,母气
Child qi,子气
Mother passing illness to child,母病及子
Child’s illness affects the mother,子病犯母
Five directions,五方
Late summer,长夏
Five seasons,五时
Five qi,五气
Five transformations,五化
Five colours,五色
Five flavours,五味
Five notes,五音
1.3 Zang–xiang theory,1.3 藏象
Zang–xiang,藏象
Zang–fu,脏腑
Five zang organs,五脏
Six fu organs,六腑
Extraordinary fu organs,奇恒之腑
Zang-fu organs mutually interconnect,脏腑相合
Storage of the five zang organs,五脏所藏
Governance of the five zang organs,五脏所主
Fluids of the five zang organs,五脏化液
Lustres of the five zang organs,五脏外华
Opening of the five zang organs,五脏开窍
Emotions of the five zang organs,五脏在志
Dislikes of the five zang organs,五脏所恶
Heart qi,心气
Heart blood,心血
Heart yin,心阴
Heart yang,心阳
Heart system,心系
Foundation of life,生之本
The monarch organ,君主之官
The heart governs the bright spirit,心主神明
The heart governs the blood and vessels,心主血脉
The lustre of the heart shows in the face,心其华在面
The heart opens into the tongue,心开窍于舌
The tongue is the expression of the heart,舌为心之苗
The fluid of the heart is sweat,心在液为汗
The vessels are the tissue of the heart,心在体合脉
The emotion of the heart is joy,心在志为喜
The heart dislikes heat,心恶热
The pairing between the heart and small intestine,心合小肠
Pericardium,心包
Coordination between the heart and the kidney,心肾相交
Disharmony between the heart and the kidney,心肾不交
Lung qi,肺气
Lung yīn,肺阴
Lung yang,肺阳
Lung system,肺系
Foundation of qi,气之本
The prime minister organ,相傅之官
The lung governs qi,肺主气
The lung governs breathing,肺司呼吸
The lung governs upward and outward diffusion,肺主宣发
The lung governs descent and purification,肺主肃降
The lung governs water circulation,肺主行水
Upper source of water,水之上源
The lung regulates waterways,肺主通调水道
The lung presides over the hundred vessels,肺朝百脉
The lung governs management and regulation,肺主治节
The lung governs the skin and body hair,肺主皮毛
The outer aspect of the lung is the skin,肺在体合皮
The lustre of the lung shows in the body hair,肺其华在毛
The lung opens into the nose,肺开窍于鼻
The emotion of the lung is grief,肺在志为悲
The fluid of the lung is nasal discharge,肺在液为涕
The Lung stores the Corporeal Soul,肺藏魄
The lung dislikes cold,肺恶寒
The pairing between the lung and large intestine,肺合大肠
Spleen qi,脾气
Spleen yin,脾阴
Spleen yang,脾阳
Spleen system,脾系
Postnatal foundation,后天之本
The granary organ,仓廪之官
The spleen governs transportation and transformation,脾主运化
The spleen contains blood,脾主统血
The spleen ascends the nutrients,脾主升清
The spleen governs the limbs,脾主四肢
The spleen governs muscles,脾主肌肉
The spleen governs the four seasons,脾主四时
The lustre of the spleen shows in the lips,脾其华在唇
The spleen opens into the mouth,脾开窍于口
The emotion of the spleen is overthinking,脾在志为思
The fluid of the spleen is thin saliva,脾在液为涎
The spleen stores intent,脾藏意
The spleen dislikes dampness,脾恶湿
The pairing between the spleen and stomach,脾合胃
Liver qi,肝气
Liver blood,肝血
Liver yin,肝阴
Liver yang,肝阳
Liver system,肝系
